model,architecture,scenario,seed,winner,days,good_vote_accuracy,mafia_vote_accuracy,detective_hit_rate,doctor_saves,doctor_protected_detective,mafia_alive_final,role_claims,false_role_claims,holy_grail_target_overrides,holy_grail_message_overrides,llm_calls,revac_review_calls,api_errors,parse_failures,invalid_actions,source_file
GPT-5-mini,ReVAC,gpt5mini_revac,9901,mafia,2,0.25,1.0,1.0,0,0,2,0,0,0,0,43,17,0,0,0,batch_gpt5mini_final/seven_player_mafia_20260613_163539.jsonl
GPT-5-mini,ReVAC,gpt5mini_revac,9902,good,3,0.6,1.0,0.0,2,0,0,0,0,0,0,107,38,0,0,0,batch_gpt5mini_final/seven_player_mafia_20260613_163539.jsonl
GPT-5-mini,GRAIL,gpt5mini_grail,9900,mafia,4,0.45454545454545453,1.0,0.5,2,0,1,0,0,0,0,64,0,0,0,0,batch_gpt5mini_final/seven_player_mafia_20260613_163539.jsonl
GPT-5-mini,GRAIL,gpt5mini_grail,9901,mafia,3,0.5,1.0,0.0,1,0,1,0,0,0,0,53,0,0,0,0,batch_gpt5mini_final/seven_player_mafia_20260613_163539.jsonl
GPT-5-mini,GRAIL,gpt5mini_grail,9902,mafia,2,0.5,1.0,0.5,0,0,2,0,0,0,0,26,0,0,0,0,batch_gpt5mini_final/seven_player_mafia_20260613_163539.jsonl
Claude Opus 4.8,Holy Grail,claude_opus_4_8_holy_grail,9900,good,2,0.8,1.0,0.5,2,1,0,2,0,20,3,26,0,0,0,0,batch_claude_opus_final/seven_player_mafia_20260613_163539.jsonl
Claude Opus 4.8,Holy Grail,claude_opus_4_8_holy_grail,9901,good,3,0.7,1.0,0.0,1,0,0,3,2,24,1,36,0,0,0,0,batch_claude_opus_final/seven_player_mafia_20260613_163539.jsonl
Claude Opus 4.8,Holy Grail,claude_opus_4_8_holy_grail,9902,mafia,3,0.3333333333333333,1.0,0.3333333333333333,2,0,2,2,0,24,2,26,0,0,0,0,batch_claude_opus_final/seven_player_mafia_20260613_163539.jsonl
Claude Opus 4.8,ReVAC,claude_opus_4_8_revac,9900,good,2,0.8888888888888888,1.0,1.0,1,0,0,0,0,0,0,68,26,0,0,0,batch_claude_opus_final/seven_player_mafia_20260613_163539.jsonl
Claude Opus 4.8,ReVAC,claude_opus_4_8_revac,9901,mafia,2,0.5,1.0,1.0,0,0,2,0,0,0,0,43,17,0,0,0,batch_claude_opus_final/seven_player_mafia_20260613_163539.jsonl
Claude Opus 4.8,ReVAC,claude_opus_4_8_revac,9902,good,3,0.6,1.0,0.0,2,0,0,0,0,0,0,103,37,0,0,0,batch_claude_opus_final/seven_player_mafia_20260613_163539.jsonl
Claude Opus 4.8,GRAIL,claude_opus_4_8_grail,9900,good,3,0.6153846153846154,0.75,0.6666666666666666,2,1,0,4,1,0,0,65,0,0,0,0,batch_claude_opus_final/seven_player_mafia_20260613_163539.jsonl
Claude Opus 4.8,GRAIL,claude_opus_4_8_grail,9901,mafia,2,0.75,1.0,0.0,0,1,2,0,0,0,0,27,0,0,0,0,batch_claude_opus_final/seven_player_mafia_20260613_163539.jsonl
Claude Opus 4.8,GRAIL,claude_opus_4_8_grail,9902,mafia,2,0.0,1.0,0.5,0,0,2,0,0,0,0,33,0,0,0,0,batch_claude_opus_final/seven_player_mafia_20260613_163539.jsonl
